Field Name in Extract,Definition,Data Type
test_id,A unique ID for every speedtest performed based on the platform.,number
android_device_id,"Each individual device is assigned a unique ID, which is tied to all the tests taken on the device.",number
android_fingerprint,"The device model and OS version of the user's device. Not standardized across all manufacturers. Rather than Android fingerprint, rely on the device and hardware fields for accurate information about the device hardware.",text
test_date,Date and time of the test in Pacific time zone (GMT -8).,datetime
client_ip_address,This is the IP address from which the request to Ookla's reporting API was generated. The last octet of the user's external IP address is masked for addresses that are not on your network. Full IP addresses are available for your customers. Devices behind networks with carrier grade NAT may appear to share the same IP address.,text
download_kbps,"The result of the download portion of the test, measured in kilobits per second.",number
upload_kbps,"The result of the upload portion of the test, measured in kilobits per second.",number
latency,"The result of the latency portion of the test, measured in milliseconds.",number
server_name,The name of the server used for the test. This is typically the city where the server is located.,text
server_country,The country where the server used for the test is located.,text
server_country_code,The two letter country code (ISO 3166-1 alpha-2) of where the test server is located.,text
server_latitude,The latitude of the server used for the test.,number
server_longitude,The longitude of the server used for the test.,number
server_sponsor_name,The name of the test server sponsor. Combining server name and server sponsor will create a unique name for each server.,text
client_country,The country where the device is located.,text
client_country_code,The two letter country code (ISO 3166-1 alpha-2) of where the device was located.,text
client_region_name,"The region within a country where the test was conducted. How each country is divided into regions varies country to country, but this is typically the top level region as described in ISO-3166-2. If this field is labeled unknown and the field location type equals 2, we were unable to confidently assign a region to the record and the location is only accurate to the country level.",text
client_region_code,The ISO-3166-2 region code of where the test was conducted.,text
client_city,"The city where the test was conducted. If this field is labeled unknown and the location type field equals 2, we were unable to confidently assign a city to the record and is only accurate to the region level.",text
client_latitude,"The latitude of the device conducting the test. If location type equals 2, this value is approximate.",number
client_longitude,"The longitude of the device conducting the test. If location type equals 2, this value is approximate.",number
miles_between,Distance (in miles) between user and location of server.,number
isp_name,"The name of the device's ISP, derived from the IP address in the client_ip_address field.",text
is_isp,"Indicates whether or not a user's connection is an ISP. 1 = true, 0 = false. 0 generally indicates government, university, or corporate connections.",number
network_operator_name,"The name of the network operator, as displayed by the device. This field is generally accurate, but is not reliable. Custom versions of Android, including carrier specific versions, may modify this string, and carriers have used different spellings and brandings on their network names. 2020-05-28: When Ookla can more accurately identify the active network operator via Android CellIdentity APIs, it will overwrite the network_operator_name based on Ookla-maintained MCCMNC-to-network relations.",text
mcc,Mobile Country Code (MCC) is a three digit code specific to the country where the network operator is located. A list of code and countries can be found here.,number
mnc,"Mobile Network Code (MNC). A three digit identifier specific to a network operator within a given country. When combined with the Mobile Country Code, each mobile network can be uniquely identified. A fairly comprehensive list of Mobile Network Codes can be foundhere, but each country regulates their MNCs individually, so codes may appear or change without any notice.",number
